temperature,humidity,wind_speed,rainfall,visibility
25.0,44,11.2,0.0,10.0
32.0,71,25.9,0.0,10.0
20.0,78,11.2,0.0,10.0
30.0,22,20.2,0.0,4.0
21.0,60,19.1,0.0,10.0
26.0,48,15.1,0.55,10.0
29.2,75,20.2,0.0,10.0
36.1,12,20.2,0.0,14.0
15.0,82,7.6,0.09,10.0
20.3,93,7.2,0.14,10.0
23.0,47,13.0,0.0,10.0
25.0,65,11.2,0.0,8.0
22.1,21,19.4,0.0,10.0
32.0,67,19.1,0.19,10.0
32.0,67,6.1,0.0,10.0
20.0,53,3.6,0.93,10.0
21.0,49,16.9,0.04,10.0
16.0,77,9.0,0.32,10.0
21.0,73,13.0,0.22,10.0
24.0,54,25.9,0.0,10.0
29.0,84,3.6,0.02,10.0
28.8,82,38.9,0.04,10.0
39.0,30,3.6,0.0,10.0
31.0,38,3.6,0.0,10.0
27.7,82,27.0,0.44,10.0
25.1,54,20.9,0.0,10.0
25.0,74,15.1,0.0,10.0
20.0,53,6.8,0.0,13.0
28.0,79,13.0,2.21,24.0
16.3,41,23.0,0.0,10.0
20.0,73,6.8,0.0,10.0
10.0,54,11.2,0.0,10.0
25.0,57,6.1,0.0,10.0
21.0,49,19.1,0.0,6.0
25.0,69,19.1,0.0,10.0
29.7,73,16.2,0.0,10.0
26.0,18,15.1,0.0,10.0
28.0,51,19.1,0.0,10.0
26.0,70,11.2,0.0,7.0
22.0,50,13.0,0.01,10.0
12.0,82,15.1,0.1,10.0
29.0,79,11.2,0.0,10.0
43.0,15,4.0,0.0,4.0
33.0,63,13.0,0.0,10.0
17.2,80,9.7,0.0,10.0
27.0,58,6.1,0.03,10.0
23.0,25,19.1,0.0,10.0
38.0,20,6.1,0.0,10.0
32.4,28,13.3,0.0,10.0
25.0,94,15.1,1.82,11.0
31.0,53,3.6,0.0,10.0
30.0,75,6.8,0.0,9.0
26.0,84,19.1,0.21,10.0
15.9,65,15.5,0.0,10.0
18.8,86,6.8,0.0,10.0
23.0,38,16.9,0.0,10.0
19.0,52,20.2,0.0,10.0
36.0,27,28.1,0.0,10.0
21.0,49,3.6,0.0,10.0
19.0,30,11.2,0.0,10.0
28.0,45,9.0,0.99,10.0
31.0,75,15.1,0.08,10.0
31.0,66,24.1,0.01,10.0
32.0,71,37.1,0.02,10.0
26.0,94,6.8,0.58,10.0
20.0,73,19.1,0.1,10.0
13.0,94,13.0,0.0,6.0
35.0,9,20.2,0.0,10.0
26.0,74,19.1,0.0,10.0
26.0,32,3.6,0.0,10.0
29.0,84,3.6,0.0,10.0
31.0,66,20.2,0.76,10.0
29.0,75,11.2,0.0,10.0
20.0,64,11.2,0.0,10.0
23.0,41,19.1,0.0,10.0
26.0,100,6.1,0.01,10.0
30.0,84,25.9,0.01,10.0
26.0,21,13.0,0.0,10.0
17.0,88,6.1,0.0,10.0
39.1,6,10.1,0.0,10.0
21.0,26,3.6,0.0,10.0
25.0,100,9.0,3.21,8.0
42.5,7,7.2,0.0,10.0
29.2,74,7.9,0.91,10.0
22.0,35,20.2,0.0,10.0
17.0,55,13.0,1.02,10.0
33.0,14,24.1,0.0,10.0
22.0,57,15.1,0.01,10.0
30.0,38,11.2,0.0,10.0
31.0,75,9.0,0.0,10.0
24.5,74,11.5,0.0,10.0
23.0,47,11.2,0.0,10.0
25.0,94,15.1,0.0,10.0
30.0,79,20.2,0.01,9.0
32.0,41,6.8,0.02,10.0
27.0,34,24.1,0.0,10.0
15.0,88,6.8,0.06,9.0
29.0,84,3.6,0.28,10.0
25.0,74,15.1,0.0,10.0
19.8,49,6.5,0.21,9.0
35.0,35,15.1,0.0,10.0
18.0,68,11.2,0.19,10.0
8.9,63,3.6,0.0,16.0
12.0,62,19.1,0.01,10.0
24.0,47,11.2,0.0,10.0
